index,stt,id,name,link,files,folders,lastUpdate,isFile,linkFile
1,1,15671,Quy trình,https://drive.base.vn/thanhphong1110-drive/folder/15671,2,0,6/10/2023 15:08,FALSE,
1.1.,3,73267,HUONG DAN CO BAN BCT THEO NGANH HANG.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15671,0,0,6/10/2023 15:10,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/06/15/JDFU5MRXTJ/ad472c7b616568249e9cc1504f51f9dc/NYC2NLVXB27CP9FRLEEUZTHXE9MWQ4KYZ22UR6GSNHVNM5BKEUK3ZR2C6Y26X3SS86YQC3ECWZNHAU2BL4EWHH/b5/d9/83/b8/96/2a0ec3e522394d3bb7bba3e3fbd76c51/huong_dan_co_ban_bct_theo_nganh_hang.pdf
1.2.,4,73266,VPHARCHEM_QUY TRÌNH THUỐC CHỨNG UPDATED 06.10.2023.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15671,0,0,6/10/2023 15:09,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/06/15/RNE3YB8T85/63c4534ada82ba566dfdd778e9bfed5b/ZDQX5XF4G43ZEHUG63MEEFJ5ZJFWQBAEFPACQEGTEBWRK8FBA5VXHK3CPB2V492DDHGJ2JY9CTRSACSMNXRUUX/f5/23/22/de/1a/7bd7aa4ed209a2a3f81cdb85c4239bc4/vpharchem_quy_trinh_thuoc_chung_updated_06.10.20.pdf
2,2,11000,Tài liệu,https://drive.base.vn/thanhphong1110-drive/folder/11000,2,10,09:49:53 13/09/22,FALSE,
2.1.,5,16826,Hồ sơ nhân sự,https://drive.base.vn/thanhphong1110-drive/folder/16826,1,0,09:01:56 14/11/23,FALSE,
2.1.1.,15,77191,Vpharchem_Thông tin nhân sự.xlsx,https://drive.base.vn/thanhphong1110-drive/folder/16826,0,0,09:02:03 14/11/23,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/14/09/HRWLLDZTW4/1f63a1b442a7abc26c417d0c57c285f5/TEXZEP7DXDGWRUTQ8KDL9UA3XKDYZWF83DC6MHVWSKTEVEMW74W7GJ8ZHUF3UWKAARUMQ5REAYSGVKFVHYB7N5/d4/a9/72/63/ec/35b834b7820f4d95be4e94e5623f0eca/vpharchem_thong_tin_nhan_su.xlsx
2.2.,6,16476,TPCN,https://drive.base.vn/thanhphong1110-drive/folder/16476,0,1,6/11/2023 9:21,FALSE,
2.2.1.,16,16798,S-adenosyl-L-methionine,https://drive.base.vn/thanhphong1110-drive/folder/16798,0,1,10:53:12 13/11/23,FALSE,
2.2.1.1.,558,16799,"NSX Zhejiang Apeloa Jiayuan Pharmaceutical Co., Ltd",https://drive.base.vn/thanhphong1110-drive/folder/16799,2,0,10:54:49 13/11/23,FALSE,
2.2.1.1.1.,2019,77106,Vpharchem_ZhejiangApeloa_SadenosylLMethionin_halal_25072027.pdf,https://drive.base.vn/thanhphong1110-drive/folder/16799,0,0,10:57:46 13/11/23,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/13/10/RHF3L7MZTU/0f0471fc3ed579d3b6531eb1f36704f4/LQMS88WCK6WA5PYMP6FT6FKHX8RB3TVLLT2ZX6FHLYR6MVWCNVRKZ8UHW9VEWC2QKTJNTC6AWTZT8WKCSD9AMM/b9/1d/9e/50/1c/3ff0b64e6415d23924d9d8cbea5de38d/vpharchem_zhejiangapeloa_sadenosyllmethionin_hal.pdf
